"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1969"	"1969"	"Pedestrian"	"E814.7"	8819	201568206	4.4
	"1969"	"1969"	"Unspecified person"	"E814.9"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E815.0"	2978	201568206	1.5
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E815.1"	1642	201568206	0.8
	"1969"	"1969"	"Motorcyclist"	"E815.2"	177	201568206	0.1
	"1969"	"1969"	"Passenger on motorcycle"	"E815.3"	20	201568206	0.0
	"1969"	"1969"	"Rider of animal; occupant of animal-drawn vehicle"	"E815.5"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E815.7"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E815.8"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E815.9"	1709	201568206	0.8
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E816.0"	4563	201568206	2.3
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E816.1"	2663	201568206	1.3
	"1969"	"1969"	"Motorcyclist"	"E816.2"	154	201568206	0.1
	"1969"	"1969"	"Passenger on motorcycle"	"E816.3"	23	201568206	0.0
	"1969"	"1969"	"Pedestrian"	"E816.7"	20	201568206	0.0
	"1969"	"1969"	"Unspecified person"	"E816.9"	2338	201568206	1.2
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E817.0"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E817.1"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E817.9"	16	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E818.0"	50	201568206	0.0
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E818.1"	292	201568206	0.1
	"1969"	"1969"	"Motorcyclist"	"E818.2"	13	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger on motorcycle"	"E818.3"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of street car"	"E818.4"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedal cyclist"	"E818.6"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E818.7"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E818.8"	8	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E818.9"	496	201568206	0.2
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E819.0"	354	201568206	0.2
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E819.1"	361	201568206	0.2
	"1969"	"1969"	"Motorcyclist"	"E819.2"	15	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger on motorcycle"	"E819.3"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedal cyclist"	"E819.6"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E819.9"	4546	201568206	2.3
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E820.0"	18	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E820.1"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Motorcyclist"	"E820.2"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger on motorcycle"	"E820.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedal cyclist"	"E820.6"	8	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E820.7"	567	201568206	0.3
	"1969"	"1969"	"Other specified person"	"E820.8"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E820.9"	35	201568206	0.0
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E821.0"	28	201568206	0.0
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E821.1"	17	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Motorcyclist"	"E821.2"	14	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger on motorcycle"	"E821.3"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E821.7"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E821.9"	30	201568206	0.0
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E822.1"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E822.9"	10	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Driver of motor vehicle other than motorcycle"	"E823.0"	76	201568206	0.0
	"1969"	"1969"	"Passenger in motor vehicle other than motorcycle"	"E823.1"	63	201568206	0.0
	"1969"	"1969"	"Motorcyclist"	"E823.2"	15	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Passenger on motorcycle"	"E823.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E823.7"	18	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E823.8"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E823.9"	235	201568206	0.1
	"1969"	"1969"	"Pedestrian"	"E825.0"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of street car"	"E825.2"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E826.0"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedal cyclist"	"E826.1"	68	201568206	0.0
	"1969"	"1969"	"Unspecified person"	"E826.9"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Pedestrian"	"E827.0"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E827.8"	148	201568206	0.1
	"1969"	"1969"	"Unspecified person"	"E827.9"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E830.0"	789	201568206	0.4
	"1969"	"1969"	"Occupant of other water craft-crew"	"E830.1"	49	201568206	0.0
	"1969"	"1969"	"Occupant of other water craft-other than crew"	"E830.2"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E830.8"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E830.9"	12	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E831.0"	26	201568206	0.0
	"1969"	"1969"	"Occupant of other water craft-crew"	"E831.1"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E831.9"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E832.0"	593	201568206	0.3
	"1969"	"1969"	"Occupant of other water craft-crew"	"E832.1"	48	201568206	0.0
	"1969"	"1969"	"Occupant of other water craft-other than crew"	"E832.2"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Dockers, stevedores"	"E832.3"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E832.8"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E832.9"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E833.0"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-crew"	"E833.1"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E833.9"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-crew"	"E834.1"	14	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Dockers, stevedores"	"E834.3"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E834.8"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E834.9"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E835.0"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-crew"	"E835.1"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-other than crew"	"E835.2"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E835.9"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E836.0"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-crew"	"E836.1"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Dockers, stevedores"	"E836.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E837.0"	12	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-crew"	"E837.1"	36	201568206	0.0
	"1969"	"1969"	"Other specified person"	"E837.8"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E837.9"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of small boat"	"E838.0"	43	201568206	0.0
	"1969"	"1969"	"Occupant of other water craft-crew"	"E838.1"	17	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other water craft-other than crew"	"E838.2"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Dockers, stevedores"	"E838.3"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E838.8"	13	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E838.9"	12	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of military aircraft"	"E840.1"	38	201568206	0.0
	"1969"	"1969"	"Occupant of commercial aircraft, crew"	"E840.2"	12	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other occupant of commercial aircraft"	"E840.3"	9	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other and unspecified aircraft"	"E840.4"	80	201568206	0.0
	"1969"	"1969"	"Ground crew, airline employee"	"E840.5"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of military aircraft"	"E841.1"	201	201568206	0.1
	"1969"	"1969"	"Occupant of commercial aircraft, crew"	"E841.2"	60	201568206	0.0
	"1969"	"1969"	"Other occupant of commercial aircraft"	"E841.3"	177	201568206	0.1
	"1969"	"1969"	"Occupant of other and unspecified aircraft"	"E841.4"	1047	201568206	0.5
	"1969"	"1969"	"Ground crew, airline employee"	"E841.5"	13	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E841.8"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E841.9"	61	201568206	0.0
	"1969"	"1969"	"Occupant of other and unspecified aircraft"	"E842.4"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of military aircraft"	"E843.1"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other occupant of commercial aircraft"	"E843.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other and unspecified aircraft"	"E843.4"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of military aircraft"	"E844.1"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Occupant of other and unspecified aircraft"	"E844.4"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Ground crew, airline employee"	"E844.5"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified person"	"E844.8"	41	201568206	0.0
	"1969"	"1969"	"Unspecified person"	"E844.9"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Unspecified person"	"E845.9"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Penicillin, any"	"E850.0"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Antifungal antibiotics"	"E850.1"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Chloramphenicol"	"E850.2"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Erythromycins, streptomycins, tetracyclines"	"E850.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other antibiotics"	"E850.4"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Quinoline and hydroxyquinoline derivatives"	"E850.8"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other anti-infectives"	"E850.9"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Adrenals"	"E851.0"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Insulin and antidiabetic agents"	"E851.3"	9	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Progestogens"	"E851.6"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Antihistaminic and antiemetic drugs"	"E852.0"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Antineoplastic agents"	"E852.1"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Electrolytic, caloric, and water balance agents"	"E852.2"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Vitamins"	"E852.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other primarily systemic agents"	"E852.4"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Iron and its compounds"	"E852.5"	11	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Anticoagulants"	"E852.6"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Opiates and synthetic analogues"	"E853.0"	403	201568206	0.2
	"1969"	"1969"	"Salicylates and congeners"	"E853.1"	104	201568206	0.1
	"1969"	"1969"	"Colchicine"	"E853.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Aniline derivatives"	"E853.4"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other analgesics and antipyretics"	"E853.9"	43	201568206	0.0
	"1969"	"1969"	"Barbiturates"	"E854.0"	432	201568206	0.2
	"1969"	"1969"	"Chloral hydrate"	"E854.1"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Paraldehyde"	"E854.2"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Bromides"	"E854.3"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other sedatives and hypnotics"	"E854.9"	242	201568206	0.1
	"1969"	"1969"	"Antidepressants"	"E855.0"	14	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Tranquillizers"	"E855.1"	69	201568206	0.0
	"1969"	"1969"	"Other psychotherapeutic agents"	"E855.2"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Parasympatholytics (anticholinergics)"	"E855.4"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Sympathomimetics (adrenergics)"	"E855.5"	9	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other"	"E855.9"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Anticonvulsants"	"E856.0"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Skeletal muscle relaxants"	"E856.1"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Anesthetic gases"	"E856.2"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other central nervous system depressants"	"E856.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Amphetamine"	"E856.4"	22	201568206	0.0
	"1969"	"1969"	"Other central nervous system stimulants"	"E856.8"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Cardiac depressants"	"E857.0"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Cardiac tonics"	"E857.1"	79	201568206	0.0
	"1969"	"1969"	"Vasodilators"	"E857.4"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Antacids and antidiarrhea agents"	"E858.0"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Intestinal irritant cathartics"	"E858.1"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Saline cathartics"	"E858.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Local anesthetics"	"E859.0"	5	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Xanthine derivatives"	"E859.2"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other diuretics"	"E859.3"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Agents acting directly on musculoskeletal system"	"E859.4"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Liniments"	"E859.5"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other medicaments for external use"	"E859.7"	16	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other specified drugs"	"E859.8"	12	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Drugs, unspecified"	"E859.9"	319	201568206	0.2
	"1969"	"1969"	"Accidental poisoning by alcohol"	"E860"	189	201568206	0.1
	"1969"	"1969"	"Accidental poisoning by cleansing and polishing agents"	"E861"	28	201568206	0.0
	"1969"	"1969"	"Accidental poisoning by disinfectants"	"E862"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Accidental poisoning by paints and varnishes"	"E863"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Accidental poisoning by petroleum products and other solvents"	"E864"	67	201568206	0.0
	"1969"	"1969"	"Accidental poisoning by pesticides, fertilizers or plant foods"	"E865"	56	201568206	0.0
	"1969"	"1969"	"Accidental poisoning by heavy metals and their fumes"	"E866"	39	201568206	0.0
	"1969"	"1969"	"Accidental poisoning by corrosives and caustics, not elsewhere classified"	"E867"	28	201568206	0.0
	"1969"	"1969"	"Accidental poisoning by noxious foodstuffs and poisonous plants"	"E868"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Accidental poisoning by other and unspecified solid and liquid substances"	"E869"	657	201568206	0.3
	"1969"	"1969"	"Accidental poisoning by gas distributed by pipe-line"	"E870"	197	201568206	0.1
	"1969"	"1969"	"Accidental poisoning by liquefied petroleum gas distributed in mobile containers"	"E871"	46	201568206	0.0
	"1969"	"1969"	"Accidental poisoning by other utility gas"	"E872"	15	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Accidental poisoning by motor vehicle exhaust gas"	"E873"	758	201568206	0.4
	"1969"	"1969"	"Accidental poisoning by carbon monoxide from incomplete combustion of domestic fuels"	"E874"	138	201568206	0.1
	"1969"	"1969"	"Accidental poisoning by other carbon monoxide"	"E875"	220	201568206	0.1
	"1969"	"1969"	"Accidental poisoning by other gases and vapors"	"E876"	153	201568206	0.1
	"1969"	"1969"	"Accidental poisoning by unspecified gases and vapors"	"E877"	22	201568206	0.0
	"1969"	"1969"	"Fall on or from stairs or steps"	"E880"	1824	201568206	0.9
	"1969"	"1969"	"Fall on or from ladders or scaffolding"	"E881"	516	201568206	0.3
	"1969"	"1969"	"Fall from or out of building or other structure"	"E882"	842	201568206	0.4
	"1969"	"1969"	"Fall into hole or other opening in surface"	"E883"	188	201568206	0.1
	"1969"	"1969"	"Other fall from one level to another"	"E884"	1582	201568206	0.8
	"1969"	"1969"	"Fall on same level from slipping, stumbling or tripping"	"E885"	894	201568206	0.4
	"1969"	"1969"	"Fall on same level from collision, pushing or shoving by or with other person"	"E886"	45	201568206	0.0
	"1969"	"1969"	"Other and unspecified fall"	"E887"	11936	201568206	5.9
	"1969"	"1969"	"Accident caused by conflagration in private dwelling"	"E890"	4365	201568206	2.2
	"1969"	"1969"	"Accident caused by conflagration in other building or structure"	"E891"	280	201568206	0.1
	"1969"	"1969"	"Accident caused by conflagration not in building or structure"	"E892"	119	201568206	0.1
	"1969"	"1969"	"Accident caused by ignition of clothing"	"E893"	843	201568206	0.4
	"1969"	"1969"	"Accident caused by ignition of highly inflammable material"	"E894"	315	201568206	0.2
	"1969"	"1969"	"Accident caused by controlled fire in private dwelling"	"E895"	108	201568206	0.1
	"1969"	"1969"	"Accident caused by controlled fire in other building or structure"	"E896"	6	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Accident caused by controlled fire not in building or structure"	"E897"	56	201568206	0.0
	"1969"	"1969"	"Accident caused by other specified fires or flames"	"E898"	557	201568206	0.3
	"1969"	"1969"	"Accident caused by unspecified fire"	"E899"	514	201568206	0.3
	"1969"	"1969"	"Excessive heat"	"E900"	271	201568206	0.1
	"1969"	"1969"	"Excessive cold"	"E901"	424	201568206	0.2
	"1969"	"1969"	"High and low air pressure"	"E902"	14	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Effects of travel and motion"	"E903"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Hunger, thirst, exposure and neglect"	"E904"	283	201568206	0.1
	"1969"	"1969"	"Bites and stings of venomous animals and insects"	"E905"	48	201568206	0.0
	"1969"	"1969"	"Other accidents caused by animals"	"E906"	155	201568206	0.1
	"1969"	"1969"	"Lightning"	"E907"	131	201568206	0.1
	"1969"	"1969"	"Cataclysm"	"E908"	429	201568206	0.2
	"1969"	"1969"	"Accident due to other natural and environmental factors"	"E909"	30	201568206	0.0
	"1969"	"1969"	"In recreational activities"	"E910.0"	2171	201568206	1.1
	"1969"	"1969"	"Other and unspecified"	"E910.9"	4010	201568206	2.0
	"1969"	"1969"	"Inhalation and ingestion of food causing obstruction or suffocation"	"E911"	2641	201568206	1.3
	"1969"	"1969"	"Inhalation and ingestion of other object causing obstruction or suffocation"	"E912"	1071	201568206	0.5
	"1969"	"1969"	"In bed or cradle"	"E913.0"	515	201568206	0.3
	"1969"	"1969"	"Other and unspecified"	"E913.9"	807	201568206	0.4
	"1969"	"1969"	"Foreign body accidentally entering eye and adnexa"	"E914"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Foreign body accidentally entering other orifice"	"E915"	86	201568206	0.0
	"1969"	"1969"	"Struck accidentally by falling object"	"E916"	1271	201568206	0.6
	"1969"	"1969"	"Striking against or struck accidentally by objects"	"E917"	997	201568206	0.5
	"1969"	"1969"	"Caught accidentally in or between objects"	"E918"	532	201568206	0.3
	"1969"	"1969"	"Over-exertion and strenuous movements"	"E919"	20	201568206	0.0
	"1969"	"1969"	"Powered hand tools"	"E920.0"	15	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other hand tools"	"E920.1"	31	201568206	0.0
	"1969"	"1969"	"Other machinery"	"E920.2"	14	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other"	"E920.8"	73	201568206	0.0
	"1969"	"1969"	"Unspecified"	"E920.9"	23	201568206	0.0
	"1969"	"1969"	"Boilers"	"E921.0"	35	201568206	0.0
	"1969"	"1969"	"Gas cylinders"	"E921.1"	11	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other"	"E921.8"	31	201568206	0.0
	"1969"	"1969"	"Accidentally self-inflicted"	"E922.0"	568	201568206	0.3
	"1969"	"1969"	"Other and unspecified"	"E922.9"	1741	201568206	0.9
	"1969"	"1969"	"Fireworks"	"E923.0"	7	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Blasting materials"	"E923.1"	23	201568206	0.0
	"1969"	"1969"	"Explosive gases"	"E923.2"	299	201568206	0.1
	"1969"	"1969"	"Other"	"E923.8"	84	201568206	0.0
	"1969"	"1969"	"Unspecified"	"E923.9"	140	201568206	0.1
	"1969"	"1969"	"Accident caused by hot substance, corrosive liquid, and steam"	"E924"	288	201568206	0.1
	"1969"	"1969"	"Home wiring and appliances"	"E925.0"	222	201568206	0.1
	"1969"	"1969"	"Industrial wiring or appliances"	"E925.1"	152	201568206	0.1
	"1969"	"1969"	"Other"	"E925.8"	653	201568206	0.3
	"1969"	"1969"	"Unspecified"	"E925.9"	121	201568206	0.1
	"1969"	"1969"	"Vehicle accidents not elsewhere classifiable"	"E927"	107	201568206	0.1
	"1969"	"1969"	"Machinery accidents not elsewhere classifiable"	"E928"	946	201568206	0.5
	"1969"	"1969"	"Other and unspecified accidents"	"E929"	1653	201568206	0.8
	"1969"	"1969"	"In surgical treatment, excluding effects of anesthetic management"	"E930.0"	1579	201568206	0.8
	"1969"	"1969"	"In anesthesia during operative treatment"	"E930.1"	84	201568206	0.0
	"1969"	"1969"	"In infusion or transfusion during operative treatment"	"E930.2"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In other procedures during operative treatment"	"E930.9"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In use of X-ray and radioactive substances"	"E931.0"	22	201568206	0.0
	"1969"	"1969"	"In administration of drugs and biologicals"	"E931.1"	393	201568206	0.2
	"1969"	"1969"	"In infusion and transfusion"	"E931.2"	61	201568206	0.0
	"1969"	"1969"	"In local applications"	"E931.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In other therapeutic procedures"	"E931.8"	101	201568206	0.1
	"1969"	"1969"	"In unspecified therapeutic procedures"	"E931.9"	175	201568206	0.1
	"1969"	"1969"	"In surgical procedures, excluding effect of anaesthetic management"	"E932.0"	42	201568206	0.0
	"1969"	"1969"	"In anesthesia"	"E932.1"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In use of X-ray or radioactive substances"	"E932.2"	11	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In administration of drugs and biologicals"	"E932.3"	23	201568206	0.0
	"1969"	"1969"	"In other diagnostic procedures"	"E932.8"	44	201568206	0.0
	"1969"	"1969"	"In unspecified diagnostic procedures"	"E932.9"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Smallpox vaccine"	"E934.0"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Measles vaccine"	"E934.4"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Mixed viral-rickettsial and bacterial vaccines, except combinations with a pertussis component"	"E934.7"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other and unspecified vaccines"	"E934.9"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In surgical procedures, excluding effects of anesthetic management"	"E935.0"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In administration of drugs and biologicals"	"E935.3"	1	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In surgical procedures, excluding effects of anesthetic management"	"E936.0"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In anesthesia"	"E936.1"	2	201568206	0.0 (Unreliable)
	"1969"	"1969"	"In other and unspecified procedures"	"E936.9"	12	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Late effect of motor vehicle accident"	"E940"	125	201568206	0.1
	"1969"	"1969"	"Late effect of other transport accident"	"E941"	8	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Late effect of accidental poisoning"	"E942"	15	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Late effect of accidental fall"	"E943"	193	201568206	0.1
	"1969"	"1969"	"Late effect of accident caused by fire"	"E944"	4	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Late effect of accident due to natural and environmental factors"	"E945"	3	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Late effect of other accidents"	"E946"	255	201568206	0.1
	"1969"	"1969"	"Late effect of surgical operation"	"E947"	98	201568206	0.0
	"1969"	"1969"	"Late effect of irradiation"	"E948"	10	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Late effect of other surgical and medical procedures"	"E949"	19	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Barbituric acid and derivatives"	"E950.0"	1810	201568206	0.9
	"1969"	"1969"	"Salicylates and congeners"	"E950.1"	72	201568206	0.0
	"1969"	"1969"	"Psychotherapeutic agents"	"E950.2"	179	201568206	0.1
	"1969"	"1969"	"Other and unspecified drugs"	"E950.3"	915	201568206	0.5
	"1969"	"1969"	"Corrosive aromatics"	"E950.4"	11	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Strychnine"	"E950.5"	22	201568206	0.0
	"1969"	"1969"	"Lye and potash (caustic alkali)"	"E950.6"	53	201568206	0.0
	"1969"	"1969"	"Arsenic and its compounds"	"E950.7"	39	201568206	0.0
	"1969"	"1969"	"Fluorides"	"E950.8"	18	201568206	0.0 (Unreliable)
	"1969"	"1969"	"Other and unspecified solid and liquid substances"	"E950.9"	540	201568206	0.3
